"tstep","state","x","y","vx","vy","sx","sy","svx","svy","sax","say","sjx","sjy","fx","fy","blk_tri"
1,6,0.00115900000000001,-0.00131100000000001,-0.004339,0.005621,0.00116479170594495,-0.00131006039703879,0.0050813586588781,-0.00504033992401563,0.121359928350576,-0.077484035290428,-1.09459528930606,-1.5688375282227,0,0,1
6,6,0.00118800000000001,-0.001336,-0.006277,0.005325,0.00119169251308334,-0.00133626235214871,0.00567433082627284,-0.00544658723633453,0.115799938224,-0.08485822918958,-1.12940075710114,-1.38084003458147,0,0,1
11,6,0.001222,-0.00136399999999998,-0.006277,0.005325,0.00122148795672467,-0.00136458380524427,0.00623906799364054,-0.00588735556785975,0.110065920709128,-0.0912924355727101,-1.16420622959033,-1.19284253637957,0,0,1
16,6,0.00125800000000001,-0.00140099999999999,-0.006277,0.005325,0.00125403468477521,-0.00139518560992704,0.00677469998313996,-0.00635794494193313,0.104157876081647,-0.0967866546990726,-1.19901170185428,-1.00484503842475,0,0,1
21,6,0.001295,-0.00143300000000002,-0.006277,0.005325,0.00128918499828095,-0.00142820512371891,0.00728035670528088,-0.00685365546565595,0.0980758037479994,-0.101340886011258,-1.23381717189137,-0.816847542566819,0,0,1
26,6,0.001333,-0.00146499999999999,-0.006278,0.007095,0.00132678684298922,-0.00146375620010239,0.00775516798541014,-0.00736978716602041,0.091819704114403,-0.10495512988983,-1.26862264172433,-0.628850046921627,0,0,1
31,6,0.00137100000000001,-0.00149699999999997,-0.008373,0.007097,0.00136668381849124,-0.00150192919713745,0.00819826369339672,-0.00790164011166089,0.0853895773451829,-0.107629386493271,-1.30342811421567,-0.44085254875497,0,0,1
36,6,0.001402,-0.001531,-0.008373,0.007094,0.0014087151689835,-0.00154279096868641,0.00860877371687376,-0.00844451438877042,0.0787854230893964,-0.109363655487721,-1.33823358628392,-0.252855050967181,0,0,1
41,6,0.001455,-0.00158199999999997,-0.008374,0.007094,0.00145271579471495,-0.0015863848754714,0.00898582788531605,-0.00899371002718361,0.0720072414802047,-0.11015793699985,-1.37303905683109,-0.0648575546693673,0,0,1
46,6,0.001499,-0.00162600000000002,-0.008374,0.00739,0.00149851623876553,-0.00163273077223139,0.00932855607639058,-0.00954452710330854,0.0650550326035126,-0.110012231117722,-1.40784452895833,0.123139943215464,0,0,1
